Date,Active energy burned(Cal),Apple Watch stand hours(hr),Basal energy burned(Cal),Distance walking / running(mi),Exercise time(min),Flights climbed(count),Heart rate(count/min),Resting heart rate(count/min),Stand time(min),Step count(count),Walking heart rate average(count/min)
2020-01-12,717.449,16.000,2294.934,3.263,12.000,7.000,71.636,59.000,120.000,7293.000,95.500
2020-01-13,898.525,18.000,2409.124,3.645,7.000,,76.863,59.000,152.000,8045.000,104.000
2020-01-14,839.263,17.000,2393.967,2.896,9.000,1.000,71.118,61.000,98.000,6437.000,98.500
2020-01-15,756.527,15.000,2331.030,2.482,7.000,1.000,70.897,60.000,79.000,5555.035,104.000
2020-01-16,743.285,18.000,2271.311,2.857,6.000,1.000,71.561,62.000,127.000,6392.965,103.000
2020-01-17,791.604,15.000,2272.711,3.521,13.000,8.000,75.797,65.000,119.000,7807.000,109.500
2020-01-18,837.166,17.000,2254.287,3.688,5.000,6.000,75.985,62.000,149.000,8207.000,109.000
2020-01-19,724.797,14.000,2125.177,3.999,10.000,3.000,78.541,64.000,169.000,9015.000,109.500
2020-01-20,842.198,17.000,2275.964,3.302,12.000,1.000,76.828,67.000,157.000,7261.000,94.500
2020-01-21,898.627,19.000,2273.421,3.784,44.000,2.000,77.934,66.000,213.000,11377.000,95.000
2020-01-22,851.170,15.000,2339.992,3.371,15.000,1.000,76.449,62.000,126.000,7482.000,108.000
2020-01-23,893.009,17.000,2416.590,3.461,12.000,2.000,78.161,65.000,114.000,7616.000,106.000
2020-01-24,819.030,17.000,2311.228,3.609,10.000,1.000,82.080,64.000,130.000,7995.000,110.000
2020-01-25,745.774,16.000,2228.080,3.743,7.000,3.000,71.339,57.000,159.000,8454.000,95.000
2020-01-26,863.519,16.000,2191.122,4.510,30.000,6.000,81.453,60.000,177.000,9982.000,96.000
2020-01-27,887.321,15.000,2244.844,3.820,38.000,3.000,83.129,65.000,150.000,8380.000,102.000
2020-01-28,1006.858,18.000,2372.417,4.322,38.000,,82.943,67.000,155.000,9481.000,95.000
2020-01-29,800.316,14.000,2300.886,3.386,12.000,3.000,78.195,67.000,126.000,7503.000,109.000
2020-01-30,763.901,17.000,2277.297,2.757,11.000,4.000,78.147,67.000,102.000,6138.000,106.000
2020-01-31,804.422,16.000,2296.726,3.364,15.000,4.000,80.015,68.000,108.000,7506.000,111.000
2020-02-01,820.164,16.000,2177.867,4.456,30.000,4.000,85.604,68.000,167.000,9751.000,106.000
2020-02-02,877.289,15.000,2297.595,4.514,37.000,6.000,92.219,69.000,120.000,9932.534,134.000
2020-02-03,899.523,16.000,2337.050,4.276,30.000,,81.815,66.000,126.000,9161.000,122.000
2020-02-04,857.877,15.000,2375.975,3.234,15.000,2.000,77.880,67.000,112.000,7150.000,106.000
2020-02-05,783.835,17.000,2285.266,3.180,11.000,1.000,78.168,68.000,130.000,7081.000,105.500
2020-02-06,806.994,16.000,2295.678,3.070,11.000,2.000,77.017,62.000,122.000,6836.000,101.000
2020-02-07,787.657,16.000,2214.068,3.781,5.000,2.000,75.932,62.000,158.000,8520.000,96.500
2020-02-08,1069.309,16.000,2351.746,5.658,44.000,10.000,84.497,61.000,191.000,12649.000,97.000
2020-02-09,970.108,17.000,2318.344,5.544,33.000,4.000,82.438,60.000,169.000,12202.000,119.000
2020-02-10,1076.877,17.000,2411.568,4.717,34.000,3.000,81.467,64.000,147.000,10209.000,125.000
2020-02-11,973.734,19.000,2371.198,4.481,30.000,3.000,80.831,65.000,147.000,9766.000,116.000
2020-02-12,938.002,16.000,2363.188,3.241,39.000,5.000,77.855,66.000,114.000,7235.000,104.000
2020-02-13,902.734,16.000,2288.521,3.241,34.000,,78.276,66.000,117.000,7242.000,97.500
2020-02-14,933.204,17.000,2357.240,3.301,30.000,2.000,80.499,68.000,134.000,7358.000,102.000
2020-02-15,761.893,15.000,2223.204,4.288,2.000,2.000,78.943,59.000,193.000,9640.000,112.000
